z_mean,z_std,z_min,z_max,z_range,x_mean,x_std,x_range,y_mean,y_std,y_range,sample_count,lat,lon,timestamp,label
0.6503628325,0.5793935423136295,-0.2961118,1.5817355,1.8778473,-1.9717547464545453,1.4161272923651376,4.0910091699999995,-9.538753886363638,0.29156804357520244,1.2087719999999997,22,52.407035477986966,13.376115438383794,1715163930000,pothole
5.109891435211267,0.004633910033778651,5.0974903,5.122005,0.02451470000000011,-8.711876612676056,0.0027138624639468025,0.012769999999999726,0.6135300578873238,0.002996366348842513,0.013249869999999997,71,52.430151666666674,13.261985000000001,1714746265424,pothole
7.925507350909091,3.420405331954192,-0.15773226,9.926212,10.083944259999999,-2.359597415727272,3.8605521346623553,9.739860636000001,0.5511016265151515,1.1527552388362121,7.1592399,33,52.46576206,13.38911673,1708969692000,pothole
-1.1446431738813565,2.8307427654524666,-7.152036,2.0787652,9.2308012,-9.196246218644067,1.2166713171866452,6.214346,0.9671502888135595,1.1819530527330937,7.373234999999999,59,52.43102333333333,13.261824999999998,1713287363292,pothole
-4.525985294535517,4.357945526922621,-6.817808,8.048109,14.865917,2.0052034997541,6.281296235798719,15.2461186,1.7722372160109294,2.6759961224455457,9.51328083,183,52.42878676,13.53611713,1713253564000,pothole
6.869664796296297,2.043206507855386,5.03632,9.52426,4.48794,-5.411772866666667,3.766225039025384,9.888716200000001,2.1704167881481484,1.4887766333162105,4.24438454,27,52.43073,13.261216666666666,1713539353846,pothole
5.798383459555553,0.4144097883350699,1.8140787,7.9496937,6.135615,1.1101528167111114,0.2237137060701132,2.44285246,-7.828245244888891,0.2819870822311525,2.451606999999999,225,52.29256977,13.27295507,1713616941000,pothole
1.3956284877272724,4.055355760610034,-4.507321,8.352667,12.859988000000001,1.8340405557272732,1.5044831758954251,6.351667654,-5.152515590909091,6.718562697116343,16.314744400000002,22,52.42934171,13.32957974,1715008131000,pothole
0.7128927505967739,0.7913215714105973,-0.3413,7.9223676,8.2636676,-9.798852852419355,0.8136235141459047,9.0921673,0.05843493489112906,0.9086818416365622,7.8777992,124,52.55748333333333,13.056738333333332,1711642600650,pothole
9.974117739999999,0.006467320129883851,9.923169,9.979193,0.05602400000000074,-0.11535580313333331,0.004551874205641445,0.020989210000000008,-0.0977078836,0.0025226639169234366,0.013806554999999998,75,52.54714427981526,13.404492856934667,1736455325836,normal
-1.8314515662790696,0.5524429003282477,-2.600041,-0.11070792,2.48933308,0.95473807,0.516161367274606,2.62955232,-9.717186,0.1395346496519354,0.854158,43,52.56970325,13.40649749,1715954622000,pothole
8.438573439999999,0.35928302650359334,7.6587462,9.132406,1.4736597999999992,1.001740153777778,0.3392142577297899,1.93148658,5.005593480000002,0.5263738921170843,2.079523,45,52.56447439,13.42078225,1715089089000,normal
-1.8953748673913047,5.350644251111916,-6.4084005,7.659131,14.067531500000001,3.8171504391304345,3.7821884967444253,9.3195104,3.7034257047826094,4.018197218673028,9.37409792,46,52.42878676,13.53611713,1713253564000,pothole
-5.960629336363637,2.5189510620422872,-6.7076764,9.128531,15.836207400000001,-7.195778204545457,1.6896350445585213,7.0296949,-1.7474183145454547,2.0554393815036685,13.5992255,55,52.40336263,13.57719615,1713506822000,pothole
9.936160354545454,0.0033950465235434556,9.924863,9.944546,0.01968300000000056,-0.13653039481818183,0.02547817332412686,0.121987463,0.1331659846181818,0.007274677484969079,0.043221166000000005,55,52.49418778,13.3573215,1725519828000,normal
9.831607682539682,0.003856123094489411,9.823792,9.841858,0.018066000000001026,0.061767743793650784,0.002801920952877967,0.012442665999999998,0.10917664865079361,0.0032723235412635506,0.014356954000000005,63,52.53237574,13.54303513,1726113287836,normal
5.753656411363636,4.8751088596517045,-2.0470197,11.21853,13.2655497,1.4412678079090908,2.108127033836412,7.7241902,-2.8824177604545453,4.828262400644401,12.8888794,22,52.30331579,13.25688247,1714490976000,pothole
1.6756675577357143,2.527657894937034,-1.561339,10.1201315,11.6814705,-1.0646331014821429,1.0263490371549044,5.954859,-8.715116498107145,2.7888313457083296,12.4820908,56,52.54124752711505,13.178402502089739,1717054827711,pothole
9.798887659090907,0.00294814841116172,9.790294,9.8034525,0.013158500000001183,-0.003025470425454546,0.002459488020227621,0.0123230358,0.09188530163636364,0.0020722577315567614,0.009351945,22,52.49845789102915,13.325560299236573,1721577253000,normal
9.97737093137255,0.010919267253938726,9.964987,10.051258,0.08627099999999999,-0.14510429176470588,0.005125228796503877,0.031683310000000006,1.4083521568626837e-05,0.023000747763770306,0.1684719855,51,52.54705568309873,13.404508782550693,1736448540753,normal
-6.24849010909091,0.623631197878343,-8.119964,-5.596015,2.523948999999999,4.5010625636363635,0.18238377282790402,0.7116243999999998,5.482583740909091,0.9137462669164308,3.4322656,22,52.53290479,13.38443619,1714580969000,pothole
-3.704522700483091,1.5688972513147044,-4.837605,9.39405,14.231655,9.06088413777778,1.195357095113145,11.4240133,1.726751810144928,0.3863463797287452,6.713661500000001,207,52.568262023851275,13.408262198790908,1715799106000,pothole
9.162180895477388,1.8871639918378003,0.6451047,10.525469,9.8803643,-1.806220362311557,2.015794834774571,12.098328899999998,0.5068383196733669,0.6301825684947706,6.4694748,199,52.504226366630846,13.493056981982397,1716303338404,pothole
9.473520333333333,0.27539606567999875,8.8216,9.803636,0.982035999999999,-0.4705106864666667,0.7275610832418871,3.4745951,2.5426964566666665,0.891833298568531,2.9337799999999996,30,52.52098833333333,13.422886666666667,1726555766682,normal
